Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Boucherie Moderne;249 boulevard Voltaire;75011;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Rôtisserie;;https://www.epicery.com/epiceries/boucherie-moderne;;;"{""type"": ""Point"", ""coordinates"": [2.392546713455077, 48.850587960158926]}";48.8505879602,2.39254671346
Boucherie L'étoile;209 Avenue de Versailles;75016;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Viande halal - Bio;;;;boucherie_etoile@outlook.com;"{""type"": ""Point"", ""coordinates"": [2.259561602268901, 48.838417632170746]}";48.8384176322,2.25956160227
L' Atalante;26 Quai de la Marne;75019;Caviste - Brasserie;Retrait de commandes en magasin;L' Atalante confinement 2.0, des huîtres,  des sapins et un esprit de marché d'hiver le week-end avec des churros maison et du vin chaud et bien sûr du mercredi au dimanche nos bières artisanales!;;;06 43 08 68 27;bonjour@atalanteourcq.fr;"{""type"": ""Point"", ""coordinates"": [2.382972321679928, 48.889733395360054]}";48.8897333954,2.38297232168
restaurant indian house;27 RUE GASSENDI;75014;Restaurant ou traiteur;Retrait de commandes en magasin;Le restaurant indian house vous propose une cuisine gastronomique indienne à emporter au moins jusqu'au 20 janvier . nous disposons du click and collect sur  notre site;;http://www.indian-house.fr;06 19 32 84 23;coffee.india@neuf.fr;"{""type"": ""Point"", ""coordinates"": [2.326453479504647, 48.834286353858644]}";48.8342863539,2.3264534795
SARL BEST OUEST;84 RUE DE L'OUEST;75014;Disquaire;Livraisons à domicile, Retrait de commandes en magasin;;;;06 88 09 06 13;bestouest@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.317128374144997, 48.83498888144565]}";48.8349888814,2.31712837414
LA PERLE DE DALIAN;13 RUE PETION;75011;Restaurant ou traiteur;Livraisons à domicile;;;;06 69 62 07 21;papillonlu@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.381385064898953, 48.85876457162934]}";48.8587645716,2.3813850649
Chez Mamy;3 rue Jules Vallès;75011;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Chez Mamy est un restaurant de cuisine française. Un service de vente à emporter, tous les jours, avec des plus de saison cuisinés par le chef du place (menu entrée plat et dessert à 19€ Et burgers.;;;01 43 48 74 68;chezmamy11@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.385037638707977, 48.85288892270933]}";48.8528889227,2.38503763871
Claude le caviste;96 bis rue lemercier;75017;Caviste - Brasserie;Livraisons à domicile;Caviste;;;06 22 81 17 62;Polo.legall@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.319133619794209, 48.88937180925026]}";48.8893718093,2.31913361979
Chebbi;162 avenue d'Italie;75013;Épicerie fine;Livraisons à domicile;Œufs dattes miels huile d'olive;;;06 28 84 33 32;;"{""type"": ""Point"", ""coordinates"": [2.358369843580949, 48.82169890918384]}";48.8216989092,2.35836984358
Louise et Clara Traiteur;65 rue des Vignoles;75020;Restaurant ou traiteur;Livraisons à domicile;Haut de gamme;;https://louiseetclara.com;;;"{""type"": ""Point"", ""coordinates"": [2.401250922040894, 48.855150954148364]}";48.8551509541,2.40125092204
La Fraicheur de mon jardin;65 rue du Mont Cenis;75018;Primeur;Livraisons à domicile;;;https://www.facebook.com/people/Lafraicheur-Demonjardin/100020293957999;06 44 73 26 94;;"{""type"": ""Point"", ""coordinates"": [2.34354568683338, 48.891394965881446]}";48.8913949659,2.34354568683
Café Lanni;54 rue Faubourg Saint;75010;Épicerie fine;Livraisons à domicile;Nous torréfions quotidiennement notre café et partageons aussi notre passion du thé.;;https://thecoffeelovers.fr/;06 88 24 49 79;contact@thecoffeelovers.fr;"{""type"": ""Point"", ""coordinates"": [2.35413370311218, 48.872209374940645]}";48.8722093749,2.35413370311
Coquelicot 7;18 rue d'estrees;75007;Primeur;Livraisons à domicile;"Fromagerie
Vin
Épicerie fine";;;06 60 92 51 95;;"{""type"": ""Point"", ""coordinates"": [2.310886854787357, 48.85155403612854]}";48.8515540361,2.31088685479
BACK IN BLACK;25 rue amelot;75011;Épicerie fine;Livraisons à domicile;Torréfacteur depuis 2010 - Café en grains et café moulu fraîchement torréfié;;https://kbcoffeeroasters.com/;;coffee@kbcafeshop.com;"{""type"": ""Point"", ""coordinates"": [2.369021956434241, 48.856218872473725]}";48.8562188725,2.36902195643
De la Campagne à Mouffetard;117 rue Mouffetard;75005;Primeur;Livraisons à domicile;;;;06 62 96 25 17;commande@delacampagneamouffetard.com;"{""type"": ""Point"", ""coordinates"": [2.349804424394365, 48.84039622307229]}";48.8403962231,2.34980442439
Pharmacie de l'arcade;39 rue de l'arcade;75008;Pharmacies et parapharmacies;Livraisons à domicile;;;https://www.facebook.com/pharmaciearcadeparis;01 42 65 35 93;pharmaciedutertre08@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.32424233683377, 48.8734658560567]}";48.8734658561,2.32424233683
La Boutique MOSO;105 rue Raymond Losserand;75014;Alimentation générale et produits de première nécessité;Livraisons à domicile;Produits d'hygiène et cosmétiques naturels et BIO;;https://www.laboutiquemoso.fr/;;service-client@laboutiquemoso.fr;"{""type"": ""Point"", ""coordinates"": [2.316557744895225, 48.833041548789524]}";48.8330415488,2.3165577449
Le Moulin de l'Abbaye;21 bd de Reuilly;75012;Primeur;Livraisons à domicile;Productrices de Normandie;;;06 79 03 27 91;;"{""type"": ""Point"", ""coordinates"": [2.391670954826863, 48.83939190260855]}";48.8393919026,2.39167095483
